,driver_gender,driver_race,is_arrested,search_conducted,stop_outcome,age_group
0,male,white,False,False,warning,51-100
1,female,asian/pacific islander,False,False,warning,10-30
2,male,black,False,False,citation,51-100
3,female,black,False,False,citation,31-50
4,female,white,False,False,warning,51-100
5,female,white,False,False,warning,10-30
6,female,other,False,False,citation,10-30
7,male,white,False,False,citation,10-30
8,male,white,False,False,warning,10-30
9,male,hispanic,False,False,citation,10-30
10,male,white,False,False,citation,51-100
11,female,hispanic,False,False,citation,10-30
12,male,black,False,False,citation,31-50
13,female,white,False,False,warning,31-50
14,male,other,False,False,citation,10-30
15,male,hispanic,False,False,citation,10-30
16,female,hispanic,False,False,citation,31-50
17,male,asian/pacific islander,False,False,citation,10-30
18,male,white,False,False,citation,51-100
19,male,asian/pacific islander,False,False,warning,31-50
20,male,asian/pacific islander,False,False,citation,10-30
21,male,hispanic,False,False,warning,10-30
22,male,other,False,False,warning,31-50
23,male,hispanic,False,False,warning,10-30
24,male,white,False,False,citation,10-30
25,male,black,False,False,citation,31-50
26,male,black,False,False,citation,10-30
27,male,white,False,False,citation,31-50
28,female,white,False,False,citation,51-100
29,male,black,False,False,citation,51-100
30,male,white,False,False,citation,51-100
31,female,white,False,False,warning,51-100
32,male,hispanic,False,False,warning,10-30
33,female,white,False,True,citation,10-30
34,female,black,False,False,warning,31-50
35,male,hispanic,False,False,citation,51-100
36,male,hispanic,False,False,citation,10-30
37,male,white,False,False,citation,51-100
38,male,asian/pacific islander,False,False,warning,10-30
39,female,white,False,False,warning,31-50
40,male,black,False,False,citation,10-30
41,male,hispanic,False,False,warning,10-30
42,female,hispanic,False,False,warning,31-50
43,male,white,False,False,citation,51-100
44,female,white,False,False,citation,10-30
45,female,hispanic,False,False,warning,31-50
46,male,other,False,False,citation,10-30
47,male,asian/pacific islander,False,False,citation,31-50
48,male,other,False,True,citation,10-30
49,male,white,False,False,citation,31-50
50,male,hispanic,False,False,citation,31-50
51,female,black,False,False,warning,31-50
52,male,white,False,False,citation,10-30
53,female,hispanic,False,False,warning,31-50
54,female,hispanic,False,False,warning,10-30
55,male,hispanic,False,False,citation,10-30
56,male,asian/pacific islander,False,True,citation,51-100
57,male,white,False,False,warning,10-30
58,male,hispanic,False,False,citation,51-100
59,female,hispanic,False,False,citation,51-100
60,female,black,False,False,warning,31-50
61,male,hispanic,False,False,citation,51-100
62,male,white,False,False,citation,31-50
63,male,white,False,False,citation,51-100
64,male,hispanic,False,False,citation,31-50
65,male,white,False,False,warning,31-50
66,female,hispanic,False,False,warning,10-30
67,male,asian/pacific islander,False,False,citation,51-100
68,male,hispanic,False,False,warning,31-50
69,female,hispanic,False,False,citation,10-30
70,female,hispanic,False,False,citation,31-50
71,female,hispanic,False,False,citation,51-100
72,female,white,False,False,citation,51-100
73,male,white,False,False,warning,31-50
74,female,asian/pacific islander,False,False,citation,10-30
75,female,black,False,False,citation,31-50
76,female,black,False,False,warning,31-50
77,male,black,False,True,citation,31-50
78,male,hispanic,False,False,warning,10-30
79,male,hispanic,False,False,warning,31-50
80,male,asian/pacific islander,False,False,citation,10-30
81,female,white,False,False,warning,10-30
82,male,black,False,False,citation,10-30
83,male,hispanic,False,False,citation,31-50
84,female,hispanic,False,False,warning,51-100
85,female,white,False,False,citation,10-30
86,male,hispanic,False,False,citation,10-30
87,male,white,False,False,warning,31-50
88,male,white,False,False,citation,31-50
89,male,white,False,False,citation,10-30
90,female,asian/pacific islander,False,False,warning,51-100
91,female,other,False,False,citation,10-30
92,male,white,False,True,citation,51-100
93,male,white,False,False,warning,10-30
94,female,black,False,False,citation,51-100
95,male,asian/pacific islander,False,False,citation,51-100
96,male,asian/pacific islander,False,False,warning,10-30
97,female,white,False,False,citation,10-30
98,female,white,False,False,citation,10-30
99,male,hispanic,False,False,warning,31-50
100,male,hispanic,False,False,citation,31-50
101,female,asian/pacific islander,False,False,warning,10-30
102,female,asian/pacific islander,False,False,citation,31-50
103,male,hispanic,False,False,citation,10-30
104,female,white,False,False,citation,10-30
105,male,hispanic,False,False,warning,10-30
106,male,white,False,False,warning,10-30
107,male,asian/pacific islander,False,False,citation,10-30
108,male,white,False,False,citation,31-50
109,male,hispanic,False,False,citation,10-30
110,female,asian/pacific islander,False,False,citation,10-30
111,female,black,False,False,citation,10-30
112,female,asian/pacific islander,False,False,warning,31-50
113,male,white,False,False,warning,51-100
114,male,asian/pacific islander,False,False,citation,10-30
115,male,hispanic,False,False,citation,51-100
116,female,hispanic,False,False,citation,31-50
117,female,other,False,False,citation,31-50
118,male,black,False,False,citation,10-30
119,male,asian/pacific islander,False,False,citation,31-50
120,female,hispanic,False,False,citation,10-30
121,female,black,False,False,citation,31-50
122,male,hispanic,False,False,citation,10-30
123,male,hispanic,False,False,warning,10-30
124,male,hispanic,False,False,warning,10-30
125,male,black,False,True,citation,10-30
126,male,white,False,False,warning,31-50
127,male,other,False,False,citation,10-30
128,female,white,False,False,warning,10-30
129,male,white,False,False,warning,31-50
130,male,hispanic,False,False,citation,10-30
131,male,hispanic,False,False,citation,10-30
132,male,black,False,False,citation,10-30
133,female,white,False,False,warning,10-30
134,female,hispanic,False,False,warning,10-30
135,male,other,False,False,warning,51-100
136,male,white,False,False,warning,51-100
137,female,white,False,False,warning,10-30
138,female,black,False,False,citation,10-30
139,female,hispanic,False,False,citation,31-50
140,female,hispanic,False,False,citation,10-30
141,female,white,False,True,citation,10-30
142,male,asian/pacific islander,False,False,citation,51-100
143,male,hispanic,False,False,citation,10-30
144,male,hispanic,False,False,warning,10-30
145,male,black,False,False,citation,31-50
146,female,hispanic,True,False,arrest,10-30
147,male,white,False,False,warning,31-50
148,male,hispanic,False,False,warning,31-50
149,male,other,False,False,warning,10-30
150,female,white,False,False,warning,10-30
151,male,black,False,False,citation,10-30
152,male,black,False,False,citation,31-50
153,female,asian/pacific islander,False,False,citation,10-30
154,female,white,False,False,warning,10-30
155,female,black,False,False,warning,31-50
156,female,white,False,False,citation,10-30
157,male,hispanic,False,False,citation,31-50
158,male,black,False,False,citation,10-30
159,female,other,False,False,citation,31-50
160,male,hispanic,False,False,citation,10-30
161,male,hispanic,False,False,citation,10-30
162,female,black,False,False,citation,10-30
163,male,hispanic,False,False,warning,31-50
164,male,hispanic,False,False,warning,10-30
165,male,hispanic,False,False,warning,10-30
166,male,other,False,False,warning,31-50
167,male,other,False,False,warning,10-30
168,female,hispanic,False,False,warning,31-50
169,female,white,False,False,warning,31-50
170,female,black,False,False,warning,31-50
171,male,hispanic,False,False,warning,10-30
172,male,hispanic,False,False,warning,31-50
173,male,white,False,False,warning,10-30
174,male,hispanic,False,False,warning,10-30
175,male,hispanic,False,False,warning,31-50
176,male,black,False,False,warning,10-30
177,male,hispanic,False,False,warning,10-30
178,female,white,False,False,citation,31-50
179,male,other,False,False,warning,10-30
180,male,black,False,False,citation,51-100
181,male,hispanic,False,False,warning,31-50
182,male,white,False,False,warning,31-50
183,male,black,False,False,warning,10-30
184,male,black,False,False,warning,10-30
185,male,white,False,False,warning,10-30
186,male,black,False,False,warning,51-100
187,male,black,False,False,citation,10-30
188,female,white,False,False,citation,31-50
189,female,black,False,False,citation,31-50
190,male,hispanic,False,False,citation,10-30
191,female,black,False,False,citation,51-100
192,female,white,False,False,citation,51-100
193,male,other,False,False,warning,31-50
194,female,white,False,False,citation,10-30
195,female,black,False,True,warning,10-30
196,male,white,False,False,warning,51-100
197,female,white,False,False,warning,31-50
198,male,hispanic,False,False,warning,31-50
199,female,white,False,False,citation,10-30
200,male,hispanic,False,True,citation,10-30
201,female,hispanic,False,False,citation,10-30
202,male,black,False,False,citation,10-30
203,female,hispanic,False,False,citation,10-30
204,female,hispanic,False,False,warning,31-50
205,female,white,False,True,citation,31-50
206,female,hispanic,False,False,warning,31-50
207,male,black,False,True,citation,10-30
208,male,hispanic,False,False,citation,10-30
209,male,hispanic,False,False,citation,10-30
210,female,hispanic,False,False,citation,10-30
211,male,white,False,False,warning,10-30
212,male,hispanic,False,False,citation,51-100
213,female,white,False,False,warning,10-30
214,female,hispanic,False,False,warning,31-50
215,male,white,False,False,warning,31-50
216,male,asian/pacific islander,False,False,citation,10-30
217,female,other,False,False,citation,10-30
218,female,hispanic,False,False,warning,10-30
219,male,white,False,False,citation,10-30
220,male,black,False,False,warning,31-50
221,female,hispanic,False,False,warning,10-30
222,female,hispanic,False,False,citation,10-30
223,male,white,False,False,warning,51-100
224,male,black,False,False,citation,10-30
225,female,hispanic,False,False,citation,10-30
226,male,black,False,False,citation,31-50
227,male,hispanic,False,False,citation,31-50
228,male,white,False,False,citation,51-100
229,male,hispanic,False,False,citation,31-50
230,male,white,False,False,citation,51-100
231,female,white,False,False,warning,51-100
232,female,white,False,True,citation,31-50
233,female,black,False,False,warning,10-30
234,male,asian/pacific islander,False,False,warning,10-30
235,female,hispanic,False,False,warning,31-50
236,male,hispanic,False,False,citation,31-50
237,female,black,False,False,citation,31-50
238,female,hispanic,False,False,warning,10-30
239,male,black,False,False,warning,10-30
240,male,white,False,False,warning,10-30
241,male,black,False,True,citation,31-50
242,female,white,False,False,warning,10-30
243,male,other,False,False,citation,31-50
244,female,black,False,False,warning,51-100
245,female,asian/pacific islander,False,False,citation,10-30
246,female,hispanic,False,False,warning,10-30
247,female,white,False,False,warning,31-50
248,female,hispanic,False,False,warning,10-30
249,female,white,False,False,warning,10-30
250,male,asian/pacific islander,False,False,warning,51-100
251,female,hispanic,False,False,warning,10-30
252,female,hispanic,False,False,warning,31-50
253,male,white,False,False,warning,10-30
254,male,asian/pacific islander,False,False,citation,10-30
256,female,white,False,False,warning,31-50
257,male,hispanic,False,True,citation,10-30
258,female,hispanic,False,False,warning,10-30
259,male,hispanic,False,False,warning,31-50
260,male,hispanic,False,False,warning,31-50
261,male,hispanic,False,False,citation,10-30
262,female,white,False,False,warning,10-30
263,male,white,False,False,warning,10-30
264,female,black,False,False,warning,51-100
265,female,hispanic,False,False,citation,31-50
266,male,asian/pacific islander,False,False,citation,10-30
267,male,white,False,False,warning,10-30
268,female,white,False,False,citation,31-50
269,male,white,False,False,citation,10-30
270,male,asian/pacific islander,False,False,citation,10-30
271,female,black,False,False,citation,51-100
272,male,black,False,False,citation,31-50
273,female,white,False,False,citation,10-30
274,male,white,False,False,citation,10-30
275,male,black,False,True,citation,10-30
276,male,black,False,True,citation,10-30
277,female,black,False,False,warning,31-50
278,male,hispanic,False,False,warning,10-30
279,male,black,False,False,warning,31-50
280,female,white,False,False,citation,31-50
281,male,other,False,False,citation,10-30
282,female,hispanic,False,False,warning,10-30
283,female,white,False,False,citation,10-30
284,female,other,False,False,citation,31-50
285,male,asian/pacific islander,False,False,citation,31-50
286,male,hispanic,False,True,citation,31-50
287,male,hispanic,False,False,warning,31-50
288,male,white,False,False,citation,10-30
289,male,hispanic,False,True,warning,10-30
290,female,white,False,False,citation,10-30
292,male,asian/pacific islander,False,True,warning,10-30
293,female,hispanic,False,False,citation,31-50
294,male,black,False,True,warning,51-100
295,male,other,False,False,warning,10-30
296,male,hispanic,False,False,warning,10-30
297,female,black,False,False,citation,10-30
298,male,white,False,False,citation,10-30
299,female,hispanic,False,False,warning,31-50
300,female,black,False,False,warning,10-30
301,male,black,False,True,citation,10-30
302,male,hispanic,False,False,warning,10-30
303,female,hispanic,False,False,citation,31-50
304,male,hispanic,False,False,citation,31-50
305,male,black,False,True,citation,10-30
306,male,hispanic,False,False,citation,10-30
307,male,hispanic,False,False,warning,51-100
308,male,black,True,True,arrest,10-30
309,female,hispanic,False,False,warning,31-50
310,female,hispanic,False,False,warning,31-50
311,male,white,False,False,warning,51-100
312,female,white,False,False,warning,31-50
313,male,hispanic,False,False,citation,31-50
314,male,hispanic,False,True,citation,31-50
315,male,white,False,False,citation,31-50
316,male,hispanic,False,False,citation,10-30
317,male,hispanic,False,True,citation,10-30
318,female,hispanic,False,False,citation,31-50
319,male,other,False,False,warning,31-50
320,male,white,False,False,citation,10-30
321,male,hispanic,False,False,citation,31-50
322,female,hispanic,False,False,citation,10-30
323,male,hispanic,False,True,citation,10-30
324,male,hispanic,False,False,warning,31-50
325,female,black,False,False,citation,31-50
326,male,white,False,False,warning,10-30
327,male,white,False,False,warning,31-50
328,male,black,False,False,warning,31-50
329,female,asian/pacific islander,False,False,warning,31-50
330,female,white,False,False,warning,51-100
331,male,other,False,False,warning,10-30
332,female,white,False,False,citation,51-100
333,male,asian/pacific islander,False,False,citation,31-50
334,female,white,False,False,warning,31-50
335,male,white,False,False,warning,51-100
336,male,black,False,False,citation,31-50
337,female,black,False,False,citation,31-50
338,female,asian/pacific islander,False,False,warning,31-50
339,male,black,False,False,warning,51-100
340,female,hispanic,False,False,citation,31-50
341,male,hispanic,False,True,citation,10-30
342,male,asian/pacific islander,False,False,citation,51-100
343,female,hispanic,False,False,warning,10-30
344,male,white,False,False,warning,10-30
345,male,hispanic,False,False,citation,31-50
346,male,asian/pacific islander,False,False,citation,31-50
347,male,white,False,False,warning,51-100
348,female,hispanic,False,False,warning,31-50
349,male,hispanic,False,True,citation,10-30
350,female,hispanic,False,False,warning,31-50
351,male,hispanic,False,True,warning,31-50
352,male,hispanic,False,False,citation,10-30
353,female,black,False,True,warning,10-30
354,female,hispanic,False,False,warning,31-50
355,male,black,False,False,citation,31-50
356,female,hispanic,False,False,warning,51-100
357,female,white,False,False,citation,10-30
358,female,hispanic,False,False,citation,31-50
359,female,white,False,False,citation,31-50
360,female,white,False,False,warning,10-30
361,male,hispanic,False,False,warning,10-30
362,female,white,False,False,citation,31-50
363,female,white,False,False,warning,51-100
364,female,asian/pacific islander,False,False,warning,31-50
365,female,hispanic,False,False,citation,10-30
366,male,black,True,True,arrest,10-30
367,male,black,False,False,citation,31-50
368,male,black,False,False,warning,51-100
369,male,hispanic,False,False,citation,31-50
370,female,black,False,False,warning,10-30
371,female,hispanic,False,False,citation,10-30
372,female,white,False,False,citation,31-50
373,male,black,False,False,citation,31-50
374,male,black,False,True,citation,10-30
375,female,hispanic,False,False,warning,10-30
376,male,hispanic,False,False,warning,51-100
377,male,white,False,False,warning,10-30
378,female,black,False,False,citation,10-30
379,female,other,False,False,citation,31-50
380,female,hispanic,False,False,warning,31-50
381,male,white,False,False,warning,51-100
382,female,white,False,False,warning,51-100
383,male,hispanic,False,False,citation,31-50
384,female,black,False,False,warning,31-50
385,male,hispanic,False,False,warning,51-100
386,female,white,False,False,citation,10-30
387,male,asian/pacific islander,False,True,citation,10-30
388,male,black,False,False,citation,10-30
389,male,asian/pacific islander,True,True,arrest,31-50
390,male,hispanic,True,True,arrest,10-30
391,male,black,False,True,warning,10-30
392,male,hispanic,False,False,citation,10-30
393,male,hispanic,False,False,warning,10-30
394,male,white,False,False,warning,31-50
395,male,white,False,True,citation,10-30
396,male,asian/pacific islander,False,False,warning,10-30
397,male,asian/pacific islander,False,False,warning,10-30
398,male,hispanic,False,False,warning,10-30
399,male,other,False,True,citation,10-30
400,male,other,False,False,citation,10-30
401,female,black,False,False,warning,31-50
402,male,black,False,False,citation,31-50
403,male,black,False,False,citation,10-30
404,male,black,False,False,warning,31-50
405,female,white,False,False,warning,31-50
406,male,hispanic,False,False,citation,31-50
407,male,black,False,False,warning,10-30
408,male,white,False,False,citation,10-30
409,male,hispanic,False,True,citation,10-30
410,male,other,False,False,warning,10-30
411,male,hispanic,False,False,warning,10-30
412,male,white,False,False,warning,31-50
413,male,other,False,False,warning,10-30
414,male,black,False,False,warning,10-30
415,male,hispanic,False,False,warning,10-30
416,male,hispanic,False,False,warning,31-50
417,male,white,False,True,citation,31-50
418,male,hispanic,False,False,warning,10-30
419,male,hispanic,False,False,citation,10-30
420,male,white,False,False,warning,31-50
421,male,asian/pacific islander,False,False,warning,31-50
422,female,white,False,False,warning,51-100
423,female,white,False,False,warning,31-50
424,male,hispanic,False,False,warning,51-100
425,female,black,True,True,arrest,31-50
426,male,hispanic,False,True,citation,10-30
427,female,white,False,False,warning,31-50
428,female,hispanic,False,False,warning,31-50
429,female,black,False,False,citation,10-30
430,female,white,False,False,warning,31-50
431,male,white,False,False,citation,10-30
432,male,black,False,False,citation,31-50
433,female,white,False,False,citation,31-50
