date,time,location,location.1,driver_age,driver_race,driver_gender,search_conducted,stop_outcome,is_arrested,age_group
2000-08-06,2:30:00,"Winston-Salem, Forsyth County",Forsyth County,30.0,black,female,False,warning,False,21-30
2000-08-15,21:45:00,"Winston-Salem, Forsyth County",Forsyth County,21.0,asian/pacific islander,male,False,citation,False,21-30
2000-08-05,23:40:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,male,False,citation,False,14-20
2000-08-05,21:30:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,male,False,citation,False,14-20
2000-08-18,20:20:00,"Winston-Salem, Forsyth County",Forsyth County,18.0,black,female,False,warning,False,14-20
2000-08-18,20:00:00,"Winston-Salem, Forsyth County",Forsyth County,22.0,hispanic,male,False,citation,False,21-30
2000-08-19,21:00:00,"Winston-Salem, Forsyth County",Forsyth County,18.0,black,male,False,citation,False,14-20
2000-09-21,22:10:00,"Winston-Salem, Forsyth County",Forsyth County,23.0,black,female,False,warning,False,21-30
2000-08-29,21:20:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,female,False,warning,False,14-20
2000-09-16,2:15:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,male,False,warning,False,14-20
2000-09-17,23:32:00,"Winston-Salem, Forsyth County",Forsyth County,25.0,black,female,False,warning,False,21-30
2000-09-18,20:13:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,male,False,warning,False,14-20
2000-09-26,23:12:00,"winston-Salem, Forsyth County",Forsyth County,19.0,black,female,False,warning,False,14-20
2000-09-27,21:50:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,male,False,warning,False,14-20
2000-09-28,22:30:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,female,False,warning,False,14-20
2000-09-29,22:42:00,"Winston-Salem, Forsyth County",Forsyth County,21.0,black,male,False,warning,False,21-30
2000-09-28,23:30:00,"Winston-Salem, Forsyth County",Forsyth County,19.0,black,female,False,warning,False,14-20
2000-09-28,5:30:00,"Winston-Salem, Forsyth County",Forsyth County,25.0,hispanic,female,False,warning,False,21-30
2000-09-26,0:40:00,"Winston-Salem, Forsyth County",Forsyth County,28.0,hispanic,male,False,citation,False,21-30
2000-10-05,11:30:00,"Winston-Salem, Forsyth County",Forsyth County,31.0,black,male,False,warning,False,31-40
2000-10-06,1:47:00,"Winston-Salem, Forsyth County",Forsyth County,20.0,black,female,False,warning,False,14-20
2000-10-11,23:15:00,"Winston-Salem, Forsyth County",Forsyth County,18.0,black,male,False,citation,False,14-20
2000-10-22,0:45:00,"Winston-Salem, Forsyth County",Forsyth County,30.0,hispanic,male,False,citation,False,21-30
2000-10-22,0:15:00,"Winston-Salem, Forsyth County",Forsyth County,19.0,black,female,False,warning,False,14-20
2000-10-19,0:15:00,"Winston-Salem, Forsyth County",Forsyth County,19.0,black,male,False,warning,False,14-20
2000-10-22,1:20:00,"Winston-Salem, Forsyth County",Forsyth County,17.0,white,female,False,citation,False,14-20
