date,age,driver_race,driver_gender,search_conducted,stop_outcome,is_arrested,age_group
2012-01-01,57.0,white,male,False,warning,False,31-65
2012-01-01,22.0,asian/pacific islander,female,False,warning,False,10-30
2012-01-02,73.0,black,male,False,citation,False,66-100
2012-01-02,31.0,black,female,False,citation,False,31-65
2012-01-03,81.0,white,female,False,warning,False,66-100
2012-01-04,30.0,white,female,False,warning,False,10-30
2012-01-05,23.0,other,female,False,citation,False,10-30
2012-01-06,17.0,white,male,False,citation,False,10-30
2012-01-06,21.0,white,male,False,warning,False,10-30
2012-01-06,30.0,hispanic,male,False,citation,False,10-30
2012-01-07,57.0,white,male,False,citation,False,31-65
2012-01-07,30.0,hispanic,female,False,citation,False,10-30
2012-01-07,40.0,black,male,False,citation,False,31-65
2012-01-07,40.0,white,female,False,warning,False,31-65
2012-01-07,25.0,other,male,False,citation,False,10-30
2012-01-07,18.0,hispanic,male,False,citation,False,10-30
2012-01-07,48.0,hispanic,female,False,citation,False,31-65
2012-01-07,21.0,asian/pacific islander,male,False,citation,False,10-30
2012-01-08,52.0,white,male,False,citation,False,31-65
2012-01-08,36.0,asian/pacific islander,male,False,warning,False,31-65
2012-01-08,21.0,asian/pacific islander,male,False,citation,False,10-30
2012-01-08,19.0,hispanic,male,False,warning,False,10-30
2012-01-08,49.0,other,male,False,warning,False,31-65
2012-01-08,19.0,hispanic,male,False,warning,False,10-30
2012-01-08,21.0,white,male,False,citation,False,10-30
2012-01-08,36.0,black,male,False,citation,False,31-65
2012-01-09,18.0,black,male,False,citation,False,10-30
2012-01-09,49.0,white,male,False,citation,False,31-65
2012-01-09,53.0,white,female,False,citation,False,31-65
2012-01-09,63.0,black,male,False,citation,False,31-65
2012-01-09,54.0,white,male,False,citation,False,31-65
2012-01-09,59.0,white,female,False,warning,False,31-65
2012-01-10,21.0,hispanic,male,False,warning,False,10-30
2012-01-10,23.0,white,female,True,citation,False,10-30
2012-01-10,37.0,black,female,False,warning,False,31-65
2012-01-11,53.0,hispanic,male,False,citation,False,31-65
2012-01-11,28.0,hispanic,male,False,citation,False,10-30
2012-01-11,54.0,white,male,False,citation,False,31-65
2012-01-11,25.0,asian/pacific islander,male,False,warning,False,10-30
2012-01-11,42.0,white,female,False,warning,False,31-65
2012-01-12,25.0,black,male,False,citation,False,10-30
2012-01-13,29.0,hispanic,male,False,warning,False,10-30
2012-01-14,42.0,hispanic,female,False,warning,False,31-65
2012-01-14,65.0,white,male,False,citation,False,31-65
2012-01-14,25.0,white,female,False,citation,False,10-30
2012-01-14,40.0,hispanic,female,False,warning,False,31-65
2012-01-14,22.0,other,male,False,citation,False,10-30
2012-01-14,45.0,asian/pacific islander,male,False,citation,False,31-65
2012-01-14,22.0,other,male,True,citation,False,10-30
2012-01-14,35.0,white,male,False,citation,False,31-65
2012-01-15,48.0,hispanic,male,False,citation,False,31-65
2012-01-15,48.0,black,female,False,warning,False,31-65
2012-01-15,28.0,white,male,False,citation,False,10-30
2012-01-15,38.0,hispanic,female,False,warning,False,31-65
2012-01-15,28.0,hispanic,female,False,warning,False,10-30
2012-01-16,25.0,hispanic,male,False,citation,False,10-30
2012-01-16,56.0,asian/pacific islander,male,True,citation,False,31-65
2012-01-16,18.0,white,male,False,warning,False,10-30
2012-01-17,65.0,hispanic,male,False,citation,False,31-65
2012-01-17,56.0,hispanic,female,False,citation,False,31-65
2012-01-17,36.0,black,female,False,warning,False,31-65
2012-01-17,65.0,hispanic,male,False,citation,False,31-65
2012-01-17,46.0,white,male,False,citation,False,31-65
2012-01-17,70.0,white,male,False,citation,False,66-100
2012-01-17,31.0,hispanic,male,False,citation,False,31-65
2012-01-18,32.0,white,male,False,warning,False,31-65
2012-01-18,22.0,hispanic,female,False,warning,False,10-30
2012-01-18,89.0,asian/pacific islander,male,False,citation,False,66-100
2012-01-18,48.0,hispanic,male,False,warning,False,31-65
2012-01-18,24.0,hispanic,female,False,citation,False,10-30
2012-01-18,32.0,hispanic,female,False,citation,False,31-65
2012-01-18,52.0,hispanic,female,False,citation,False,31-65
2012-01-18,59.0,white,female,False,citation,False,31-65
2012-01-18,38.0,white,male,False,warning,False,31-65
2012-01-18,25.0,asian/pacific islander,female,False,citation,False,10-30
2012-01-18,36.0,black,female,False,citation,False,31-65
2012-01-19,48.0,black,female,False,warning,False,31-65
2012-01-19,35.0,black,male,True,citation,False,31-65
2012-01-19,18.0,hispanic,male,False,warning,False,10-30
2012-01-19,46.0,hispanic,male,False,warning,False,31-65
2012-01-19,24.0,asian/pacific islander,male,False,citation,False,10-30
2012-01-19,28.0,white,female,False,warning,False,10-30
2012-01-20,21.0,black,male,False,citation,False,10-30
2012-01-20,50.0,hispanic,male,False,citation,False,31-65
2012-01-20,51.0,hispanic,female,False,warning,False,31-65
2012-01-21,28.0,white,female,False,citation,False,10-30
2012-01-21,16.0,hispanic,male,False,citation,False,10-30
2012-01-21,40.0,white,male,False,warning,False,31-65
2012-01-21,50.0,white,male,False,citation,False,31-65
2012-01-21,30.0,white,male,False,citation,False,10-30
2012-01-21,55.0,asian/pacific islander,female,False,warning,False,31-65
2012-01-21,23.0,other,female,False,citation,False,10-30
2012-01-21,57.0,white,male,True,citation,False,31-65
2012-01-21,24.0,white,male,False,warning,False,10-30
2012-01-21,53.0,black,female,False,citation,False,31-65
2012-01-21,66.0,asian/pacific islander,male,False,citation,False,31-65
2012-01-21,25.0,asian/pacific islander,male,False,warning,False,10-30
